model,site,nb_deg,nb_pm,component,ttf,ctf
M3,S,0,0,C01,16675380.0,60147
M3,E,0,0,C01,13300958.0,31705
M2,I,0,2,C02,59336400.0,158590
M3,S,0,0,C01,7519980.0,23082
M3,S,1,1,C01,40712216.0,98151
M3,E,0,0,C01,10095540.0,18984
M4,E,0,2,C01,84414049.0,137204
M4,E,4,0,C01,43473862.0,50502
M3,E,0,0,C01,34985460.0,102168
M2,S,0,2,C02,46733007.0,33545
M4,E,0,1,C01,56929140.0,215538
M1,E,0,0,C01,5416260.0,22242
M2,I,0,1,C01,66084120.0,61678
M7,E,0,0,C01,23390100.0,56644
M3,E,0,0,C01,22201320.0,41738
M4,E,3,0,C01,10017209.0,6898
M3,S,0,1,C01,26670120.0,98367
M3,S,0,0,C01,5269447.0,11587
M3,S,0,0,C01,7246680.0,26972
M4,S,0,1,C01,18686700.0,11469
M4,S,23,0,C01,19892382.0,48113
M3,E,0,1,C01,79202760.0,267648
M4,S,0,1,C02,37345560.0,9028
M3,S,0,3,C01,74453403.0,344716
M7,E,0,0,C01,4071034.0,10185
M3,E,0,1,C01,44146740.0,75016
M4,S,0,0,C01,4944900.0,22146
M4,E,0,0,C01,32588700.0,75660
M4,E,13,2,C01,50714820.0,135575
M1,S,0,0,C01,13221244.0,58431
M4,E,0,0,C01,1709580.0,7605
M3,E,0,0,C01,20045280.0,36072
M3,S,0,1,C01,27985691.0,52570
M7,E,0,1,C01,20578500.0,121366
M4,E,0,0,C01,1732680.0,6353
M7,I,0,0,C01,5774160.0,5246
M4,E,5,0,C01,9562080.0,31511
M7,S,0,1,C01,32684847.0,65404
M4,S,0,1,C01,12867300.0,55829
M7,S,0,1,C02,13461966.0,24177
M4,S,0,1,C01,13234884.0,31803
M4,I,0,0,C01,11024880.0,22317
M4,S,0,0,C01,25634100.0,35927
M2,S,0,2,C01,45163192.0,108627
M2,E,0,0,C02,8894760.0,13281
M3,E,0,0,C01,16949220.0,28882
M3,E,0,1,C01,20054822.0,72994
M2,S,0,0,C01,2664400.0,9206
M3,E,2,1,C01,45952435.0,81393
M4,E,23,2,C02,91412058.0,221160
M7,E,0,0,C01,4473300.0,5400
M3,I,0,2,C01,80612460.0,108416
M3,E,0,0,C01,4697150.0,10350
M4,S,1,0,C01,2489280.0,5608
M1,S,0,0,C02,4730700.0,15666
M3,H,0,1,C01,38511660.0,35732
M7,S,0,0,C01,18850513.0,30674
M7,S,0,2,C02,36387360.0,131688
M3,S,1,0,C01,10284960.0,47856
M7,H,0,0,C02,21330660.0,13577
M7,E,0,0,C01,8011628.0,19627
M4,S,0,1,C01,10187929.0,31382
M4,S,1,1,C02,9045825.0,24219
M4,S,0,0,C01,6113369.0,13806
M4,E,0,1,C01,21661860.0,25016
M2,S,0,0,C01,7627662.0,14192
M7,S,0,1,C01,23944270.0,39095
M4,E,6,2,C01,26416440.0,54990
M7,E,2,1,C01,29035980.0,45977
M3,S,0,1,C02,16588140.0,62755
M4,S,0,0,C01,16583700.0,21529
M2,E,0,0,C02,3269520.0,5937
M4,E,0,1,C01,33201540.0,126542
M3,S,3,0,C01,5968362.0,9217
M2,E,0,0,C01,7860089.0,28710
M4,E,0,1,C02,24028620.0,29080
M4,S,0,1,C02,28343640.0,87354
M2,S,0,0,C01,38357400.0,62789
M4,H,4,1,C02,3311298.0,6303
M7,E,11,1,C02,43716300.0,80526
M3,E,0,0,C01,21145860.0,65588
M7,E,0,1,C01,20311342.0,70370
M7,S,0,1,C01,3001920.0,13480
M7,S,0,1,C02,25226456.0,74459
M7,E,0,1,C02,8297760.0,35138
M3,S,0,0,C01,19168860.0,94141
M7,I,0,0,C01,2761304.0,5033
